TIPLOC	type	_location_	Description	latitude	longitude
EARLSWD	FOI	51.227381,-0.170864	EARLSWOOD (SURREY)	51.227381	-0.170864
ROMFORD	FOI	51.574637,0.182362	ROMFORD	51.574637	0.182362
SLOUGH	FOI	51.512062,-0.591779	SLOUGH	51.512062	-0.591779
LUTON	FOI	51.882446,-0.413948	LUTON	51.882446	-0.413948
REDHILL	FOI	51.24006,-0.165619	REDHILL	51.24006	-0.165619
CTMSLNK	FOI	51.51522,-0.103565	CITY THAMESLINK	51.51522	-0.103565
GUILDFD	FOI	51.237908,-0.581528	GUILDFORD	51.237908	-0.581528
CRDFCEN	FOI	51.475572,-3.179477	CARDIFF CENTRAL	51.475572	-3.179477
PADTON	FOI	51.517444,-0.178062	LONDON PADDINGTON	51.517444	-0.178062
ACTONW	FOI	51.514858,-0.286315	ACTON WEST	51.514858	-0.286315
GIDEAPK	BPLAN	51.581823,0.205383	Gidea Park	51.581823	0.205383
STEVNGE	FOI	51.90145,-0.206959	STEVENAGE	51.90145	-0.206959
DENMRKH	FOI	51.468044,-0.089641	DENMARK HILL	51.468044	-0.089641
HERNEH	FOI	51.453884,-0.102625	HERNE HILL	51.453884	-0.102625
MDNHEAD	FOI	51.518513,-0.722521	MAIDENHEAD	51.518513	-0.722521
HTRWAJN	FOI	51.503057,-0.423249	HEATHROW AIRPORT JN	51.503057	-0.423249
CLPHMJW	FOI	51.463358,-0.172529	CLAPHAM JUNCTION	51.463358	-0.172529
HYWRDSH	FOI	51.005107,-0.105215	HAYWARDS HEATH	51.005107	-0.105215
VICTRIC	FOI	51.49314,-0.146085	LONDON VICTORIA	51.49314	-0.146085
LDBRKJ	FOI	51.524972,-0.21677	LADBROKE GROVE	51.524972	-0.21677
TWYFORD	FOI	51.475494,-0.863006	TWYFORD	51.475494	-0.863006
PRTOBJP	FOI	51.522188,-0.204655	PORTOBELLO JN (LONDON)	51.522188	-0.204655
SNSTJN	FOI	51.32642,-0.127684	STOATS NEST JN.	51.32642	-0.127684
NEWMLDN	FOI	51.404005,-0.255597	NEW MALDEN	51.404005	-0.255597
ROYAOJN	OSM	51.518987,-0.189404	ROYAL OAK JUNCTION	51.518987	-0.189404
CNDAW	NaPTAN	51.497990,-0.049720	Canada Water Rail Station	51.497990	-0.049720
SURREYQ	NaPTAN	51.493196,-0.047519	Surrey Quays Rail Station	51.493196	-0.047519
BATRSPJ	FOI	51.483161,-0.147426	BATTERSEA PIER JN.	51.483161	-0.147426
KNTSHTN	FOI	51.550408,-0.139546	KENTISH TOWN	51.550408	-0.139546
HAGGERS	FOI	51.534619,-0.076632	HAGGERSTON	51.534619	-0.076632
BARKING	FOI	51.540136,0.079648	BARKING	51.540136	0.079648
HAKNYNM	FOI	51.548445,-0.060515	HACKNEY DOWNS	51.548445	-0.060515
SHADWEL	NaPTAN	51.511284,-0.056934	Shadwell Rail Station	51.511284	-0.056934
BLKHTH	FOI	51.465628,0.007598	BLACKHEATH	51.465628	0.007598
HOXTON	FOI	51.534042,-0.07657	HOXTON	51.534042	-0.07657
SHRDHST	NaPTAN	51.523375,-0.075246	Shoreditch High Street Rail Station	51.523375	-0.075246
STRENJN	FOI	51.425383,-0.138846	STREATHAM NORTH JN	51.425383	-0.138846
BSNGSTK	FOI	51.268626,-1.087344	BASINGSTOKE	51.268626	-1.087344
ERLFLD	FOI	51.442564,-0.187404	EARLSFIELD	51.442564	-0.187404
HDON	FOI	51.580015,-0.23882	HENDON	51.580015	-0.23882
BLUANCR	FOI	51.491051,-0.057593	BLUE ANCHOR (KENT)	51.491051	-0.057593
RTHERHI	NaPTAN	51.500817,-0.052048	Rotherhithe Rail Station	51.500817	-0.052048
WAPPING	NaPTAN	51.504388,-0.055931	Wapping Rail Station	51.504388	-0.055931
NEWXGTE	FOI	51.475844,-0.040829	NEW CROSS GATE	51.475844	-0.040829
BRSTLTM	FOI	51.449221,-2.579964	BRISTOL TEMPLE MEADS	51.449221	-2.579964
HITCHIN	FOI	51.953075,-0.262936	HITCHIN	51.953075	-0.262936
SVNOAKS	FOI	51.276438,0.181821	SEVENOAKS	51.276438	0.181821
BEDFDM	FOI	52.135628,-0.479403	BEDFORD	52.135628	-0.479403
TONBDG	FOI	51.191624,0.269667	TONBRIDGE	51.191624	0.269667
YORK	FOI	53.957507,-1.094533	YORK	53.957507	-1.094533
WCHAPEL	NaPTAN	51.519469,-0.059757	Whitechapel Rail Station	51.519469	-0.059757
LUTOAPY	FOI	51.872643,-0.395888	LUTON AIRPORT PARKWAY	51.872643	-0.395888
CLCHSTR	FOI	51.900618,0.891298	COLCHESTER	51.900618	0.891298
VOLTRDJ	FOI	51.467267,-0.135227	VOLTAIRE ROAD JN.	51.467267	-0.135227
RAYNSPK	FOI	51.409086,-0.230413	RAYNES PARK	51.409086	-0.230413
DONC	FOI	53.521925,-1.140091	DONCASTER	53.521925	-1.140091
ARDWCKJ	FOI	53.471135,-2.208881	ARDWICK JN	53.471135	-2.208881
STRHCOM	FOI	51.418693,-0.136054	STREATHAM COMMON	51.418693	-0.136054
DRBY	FOI	52.915292,-1.462374	DERBY	52.915292	-1.462374
TULSEH	FOI	51.439946,-0.104886	TULSE HILL	51.439946	-0.104886
NWPTRTG	FOI	51.589189,-2.99983	NEWPORT (SOUTH WALES)	51.589189	-2.99983
MKNSCEN	FOI	52.033488,-0.77341	MILTON KEYNES CENTRAL	52.033488	-0.77341
RUGBY	FOI	52.378914,-1.249195	RUGBY	52.378914	-1.249195
PBRO	FOI	52.575484,-0.250894	PETERBOROUGH	52.575484	-0.250894
HAYMRKT	FOI	55.945225,-3.21904	HAYMARKET	55.945225	-3.21904
WATFDJ	FOI	51.664041,-0.395921	WATFORD JUNCTION	51.664041	-0.395921
FRATTON	FOI	50.796384,-1.074166	FRATTON	50.796384	-1.074166
DALS	NaPTAN	51.546116,-0.075137	Dalston Junction Rail Station	51.546116	-0.075137
GNRSBRY	FOI	51.49141,-0.275527	GUNNERSBURY	51.49141	-0.275527
SOTON	FOI	50.907539,-1.415927	SOUTHAMPTON CENTRAL	50.907539	-1.415927
POTRSBR	FOI	51.697633,-0.193249	POTTERS BAR	51.697633	-0.193249
FLITWCK	FOI	52.003299,-0.494614	FLITWICK	52.003299	-0.494614
ASHFKY	FOI	51.146814,0.86568	ASHFORD INTERNATIONAL	51.146814	0.86568
KEWGRDN	FOI	51.476991,-0.285042	KEW GARDENS	51.476991	-0.285042
BARNES	FOI	51.466898,-0.241754	BARNES	51.466898	-0.241754
PSEA	FOI	50.79831,-1.089297	PORTSMOUTH & SOUTHSEA	50.79831	-1.089297
SCROYDN	FOI	51.363016,-0.093411	SOUTH CROYDON	51.363016	-0.093411
BRGHTN	FOI	50.829844,-0.140991	BRIGHTON	50.829844	-0.140991
SLADEGN	FOI	51.467936,0.190067	SLADE GREEN	51.467936	0.190067
FRSTGT	FOI	51.549202,0.022987	FOREST GATE	51.549202	0.022987
SUTTON	FOI	51.359772,-0.190473	SUTTON (SURREY)	51.359772	-0.190473
WCROYDN	FOI	51.378938,-0.10199	WEST CROYDON	51.378938	-0.10199
TTNHMHL	FOI	51.588882,-0.059804	TOTTENHAM HALE	51.588882	-0.059804
STAFFRD	FOI	52.803806,-2.123	STAFFORD	52.803806	-2.123
RDNGKBJ	FOI	51.45874,-0.943537	KENNET BRIDGE JN	51.45874	-0.943537
STKP	FOI	53.40541,-2.163479	STOCKPORT	53.40541	-2.163479
STAINES	FOI	51.432313,-0.502723	STAINES	51.432313	-0.502723
PETSWD	FOI	51.388414,0.074759	PETTS WOOD	51.388414	0.074759
CREWE	FOI	53.088144,-2.431849	CREWE	53.088144	-2.431849
WOLWCHA	FOI	51.489754,0.069734	WOOLWICH ARSENAL	51.489754	0.069734
PLMS	FOI	51.489705,0.083676	PLUMSTEAD	51.489705	0.083676
BATRSPK	FOI	51.482069,-0.146606	BATTERSEA PARK	51.482069	-0.146606
CRLN	FOI	51.486662,0.030041	CHARLTON	51.486662	0.030041
GRVPK	FOI	51.430464,0.022355	GROVE PARK	51.430464	0.022355
BURGESH	FOI	50.952853,-0.127886	BURGESS HILL	50.952853	-0.127886
SVNKNGS	FOI	51.563863,0.096068	SEVEN KINGS	51.563863	0.096068
MANRPK	FOI	51.552241,0.045307	MANOR PARK	51.552241	0.045307
PKBGJN	FOI	51.46351,-0.01697	PARKS BRIDGE JN	51.46351	-0.01697
LEEDSWJ	FOI	53.79258,-1.555739	LEEDS WEST JUNCTION	53.79258	-1.555739
GODMAYS	FOI	51.565806,0.112102	GOODMAYES	51.565806	0.112102
PRST	BPLAN	53.755275,-2.706721	Preston	53.755275	-2.706721
ABWD	FOI	51.491029,0.119678	ABBEY WOOD	51.491029	0.119678
CHSLHRS	FOI	51.405429,0.057398	CHISLEHURST	51.405429	0.057398
PUTNEY	FOI	51.460971,-0.215494	PUTNEY	51.460971	-0.215494
DOKJNSP	FOI	51.542877,-0.131316	DOCK JN NORTH	51.542877	-0.131316
DIDCOTP	BPLAN	51.610883,-1.241783	Didcot Parkway	51.610883	-1.241783
NWCRTHJ	FOI	51.470251,-0.025302	TANNERS HILL JUNCTION (NX)	51.470251	-0.025302
WLWYNGC	FOI	51.801145,-0.203472	WELWYN GARDEN CITY	51.801145	-0.203472
PROOFHJ	FOI	52.480841,-1.884208	PROOF HOUSE JN	52.480841	-1.884208
ELTHAM	FOI	51.455586,0.052571	ELTHAM	51.455586	0.052571
BRNHRST	FOI	51.464973,0.16028	BARNEHURST	51.464973	0.16028
CHRX	FOI	51.506834,-0.122272	LONDON CHARING CROSS	51.506834	-0.122272
EWERSTJ	OSM	51.504148,-0.099802	Ewer Street Junction	51.504148	-0.099802
CTRDJN	FOI	51.552698,-0.152392	CARLTON ROAD JN	51.552698	-0.152392
HRPNDN	FOI	51.814552,-0.351368	HARPENDEN	51.814552	-0.351368
HLWYSJ	FOI	51.551371,-0.115924	HOLLOWAY STH. JN.	51.551371	-0.115924
BLTCHLY	FOI	51.995432,-0.736347	BLETCHLEY	51.995432	-0.736347
FELTHAM	BPLAN	51.447897,-0.409838	Feltham	51.447897	-0.409838
HAVANT	FOI	50.854484,-0.982093	HAVANT	50.854484	-0.982093
HROW	FOI	51.592011,-0.334317	HARROW & WEALDSTONE	51.592011	-0.334317
RADLETJ	FOI	51.676781,-0.30798	RADLETT JN	51.676781	-0.30798
WITHAME	FOI	51.805836,0.63934	WITHAM	51.805836	0.63934
BRSTPWY	FOI	51.513817,-2.542293	BRISTOL PARKWAY	51.513817	-2.542293
BRIXTON	FOI	51.462894,-0.113135	BRIXTON	51.462894	-0.113135
DARTFDJ	FOI	51.4504,0.212069	DARTFORD JN	51.4504	0.212069
GORASTR	FOI	51.521366,-1.133167	GORING & STREATLEY	51.521366	-1.133167
BXLYHTH	FOI	51.463535,0.133722	BEXLEYHEATH	51.463535	0.133722
GOSPLOK	FOI	51.555487,-0.151355	GOSPEL OAK	51.555487	-0.151355
RCHT	FOI	51.38556,0.510555	ROCHESTER	51.38556	0.510555
SHEFFLD	FOI	53.378119,-1.462067	SHEFFIELD	53.378119	-1.462067
WLSDWLJ	FOI	51.530936,-0.241306	WILLESDEN WEST LONDN JN	51.530936	-0.241306
FRSTGTJ	FOI	51.550922,0.034805	FOREST GATE JN	51.550922	0.034805
CAMBDGE	FOI	52.195605,0.138364	CAMBRIDGE	52.195605	0.138364
ELGH	FOI	50.968726,-1.349907	EASTLEIGH	50.968726	-1.349907
GLNGHMK	FOI	51.386794,0.55084	GILLINGHAM (KENT)	51.386794	0.55084
CRYSTLP	FOI	51.417844,-0.072463	CRYSTAL PALACE	51.417844	-0.072463
PRSP	FOI	50.846178,-0.1553	PRESTON PARK	50.846178	-0.1553
EDINBUR	FOI	55.951559,-3.191629	EDINBURGH	55.951559	-3.191629
GRVSEND	FOI	51.44131,0.366209	GRAVESEND	51.44131	0.366209
TWCKNHM	FOI	51.450438,-0.329386	TWICKENHAM	51.450438	-0.329386
KNGXBEL	FOI	51.54087,-0.122775	BELLE ISLE	51.54087	-0.122775
CHATHAM	FOI	51.380695,0.520162	CHATHAM	51.380695	0.520162
FORESTH	FOI	51.439272,-0.053301	FOREST HILL	51.439272	-0.053301
WELLING	FOI	51.464825,0.101648	WELLING	51.464825	0.101648
FALCNWD	FOI	51.459362,0.080163	FALCONWOOD	51.459362	0.080163
BROCKLY	FOI	51.464422,-0.037546	BROCKLEY	51.464422	-0.037546
HONROPK	FOI	51.450475,-0.045082	HONOR OAK PARK	51.450475	-0.045082
CHLMSFD	FOI	51.736668,0.468965	CHELMSFORD	51.736668	0.468965
STRETHM	FOI	51.425886,-0.131489	STREATHAM	51.425886	-0.131489
CMDNJN	FOI	51.543275,-0.157662	CAMDEN JN	51.543275	-0.157662
WMBY	FOI	51.551641,-0.29591	WEMBLEY CENTRAL	51.551641	-0.29591
BCKNHMJ	FOI	51.411303,-0.026894	BECKENHAM JUNCTION	51.411303	-0.026894
SIDCUP	FOI	51.433969,0.104202	SIDCUP	51.433969	0.104202
STJOHNS	FOI	51.469201,-0.022223	ST JOHNS	51.469201	-0.022223
QTRDBAT	FOI	51.475076,-0.146818	QUEENSTOWN RD.(BATTERSEA)	51.475076	-0.146818
HCRTJN	FOI	51.3828,-0.330887	HAMPTON COURT JN.	51.3828	-0.330887
KIDBROK	FOI	51.462201,0.027458	KIDBROOKE	51.462201	0.027458
TRING	FOI	51.800321,-0.622046	TRING	51.800321	-0.622046
PKHMRYC	FOI	51.470174,-0.06984	PECKHAM RYE	51.470174	-0.06984
CHFD	FOI	53.238333,-1.419545	CHESTERFIELD	53.238333	-1.419545
CHESHNT	FOI	51.701931,-0.023986	CHESHUNT	51.701931	-0.023986
NUNHEAD	FOI	51.46693,-0.053103	NUNHEAD	51.46693	-0.053103
UPMNSTR	FOI	51.558782,0.25234	UPMINSTER	51.558782	0.25234
LESTER	FOI	52.631799,-1.123746	LEICESTER	52.631799	-1.123746
VICTRIE	FOI	51.49314,-0.146085	LONDON VICTORIA	51.49314	-0.146085
CRFD	FOI	51.448306,0.178894	CRAYFORD	51.448306	0.178894
LEEE	FOI	51.449696,0.014196	LEE	51.449696	0.014196
RICHMND	FOI	51.46299,-0.300553	RICHMOND	51.46299	-0.300553
SDON	FOI	51.565714,-1.785625	SWINDON	51.565714	-1.785625
SWLY	FOI	51.393057,0.167542	SWANLEY	51.393057	0.167542
SHRTLNJ	FOI	51.408052,-0.001655	SHORTLANDS JN	51.408052	-0.001655
IPSWICH	BPLAN	52.050591,1.144426	Ipswich	52.050591	1.144426
EXETRSD	FOI	50.729782,-3.543544	EXETER ST DAVIDS	50.729782	-3.543544
LEWIVLJ	FOI	51.468925,-0.022422	LEWISHAM VALE JUNCTION	51.468925	-0.022422
BHAMINT	FOI	52.450651,-1.725004	BIRMINGHAM INTERNATIONAL	52.450651	-1.725004
PCKHMQD	FOI	51.474474,-0.056857	QUEENS RD PECKHAM	51.474474	-0.056857
HRLG	FOI	51.961436,-0.495361	HARLINGTON	51.961436	-0.495361
SLDLJN	FOI	53.452803,-2.196172	SLADE LANE JN	53.452803	-2.196172
MNCROXR	FOI	53.473751,-2.242144	MANCHESTER OXFORD ROAD	53.473751	-2.242144
BRSTLEJ	FOI	51.45167,-2.573734	BRISTOL EAST JN	51.45167	-2.573734
WNCHSTR	FOI	51.067309,-1.31997	WINCHESTER	51.067309	-1.31997
NNTN	FOI	52.526776,-1.464489	NUNEATON	52.526776	-1.464489
HRPNDNJ	FOI	51.812562,-0.349888	HARPENDEN JN	51.812562	-0.349888
MRKSTEY	BPLAN	51.880736,0.782327	Marks Tey	51.880736	0.782327
GRVRBGJ	FOI	51.489935,-0.148174	GROSVENOR BRIDGE JN	51.489935	-0.148174
WLSDJHL	BPLAN	51.531857,-0.243996	Willesden Jn. High Level	51.531857	-0.243996
BOWJ	FOI	51.531096,-0.020551	BOW JUNCTION	51.531096	-0.020551
GNHT	FOI	51.450518,0.279607	GREENHITHE FOR BLUEWATER	51.450518	0.279607
COVNTRY	FOI	52.400741,-1.513696	COVENTRY	52.400741	-1.513696
DLTN	BPLAN	54.520441,-1.545779	Darlington	54.520441	-1.545779
HRLDWOD	FOI	51.593177,0.234116	HAROLD WOOD	51.593177	0.234116
BRTWOOD	FOI	51.613564,0.300696	BRENTWOOD	51.613564	0.300696
BROXBRN	FOI	51.747021,-0.010821	BROXBOURNE	51.747021	-0.010821
CRFDSPA	FOI	51.451883,0.202583	CRAYFORD SPUR A	51.451883	0.202583
LHONSEA	BPLAN	51.541394,0.638976	Leigh-on-Sea	51.541394	0.638976
ELPHNAC	FOI	51.493946,-0.0987	ELEPHANT & CASTLE	51.493946	-0.0987
NWELTHM	FOI	51.438038,0.070129	NEW ELTHAM	51.438038	0.070129
BONENDJ	FOI	51.747157,-0.512429	BOURNE END JN (HERTS)	51.747157	-0.512429
MNCRVIC	FOI	53.488018,-2.241276	MANCHESTER VICTORIA	53.488018	-2.241276
CFTNRJN	FOI	51.469294,-0.078128	CROFTON ROAD JN	51.469294	-0.078128
EUSTON	FOI	51.529911,-0.135913	LONDON EUSTON	51.529911	-0.135913
PETSWDJ	FOI	51.392975,0.070093	PETTS WOOD JN	51.392975	0.070093
TRNHMGN	FOI	51.494047,-0.255605	TURNHAM GREEN LT	51.494047	-0.255605
KNGX	FOI	51.532256,-0.123374	LONDON KINGS CROSS	51.532256	-0.123374
MANNGTR	FOI	51.949216,1.045761	MANNINGTREE	51.949216	1.045761
SOTPKWY	FOI	50.950187,-1.363547	SOUTHAMPTON AIRPORT PARKWY	50.950187	-1.363547
OXFD	FOI	51.754,-1.270478	OXFORD	51.754	-1.270478
NKENTEJ	FOI	51.484141,-0.040617	NORTH KENT EAST JN	51.484141	-0.040617
BENFLET	FOI	51.544372,0.561045	BENFLEET	51.544372	0.561045
BRHM	FOI	50.830713,-0.640168	BARNHAM	50.830713	-0.640168
STDENYS	FOI	50.921803,-1.388106	ST DENYS	50.921803	-1.388106
CMDNSTH	FOI	51.538996,-0.148592	CAMDEN SOUTH JN	51.538996	-0.148592
PITSEA	FOI	51.560298,0.507401	PITSEA	51.560298	0.507401
BICKLYJ	FOI	51.400708,0.058926	BICKLEY JN	51.400708	0.058926
LEAGRVE	FOI	51.905428,-0.458566	LEAGRAVE	51.905428	-0.458566
CHLKWEL	FOI	51.538639,0.668886	CHALKWELL	51.538639	0.668886
HASOCKS	FOI	50.924646,-0.145696	HASSOCKS	50.924646	-0.145696
WCLIFF	FOI	51.53741,0.691586	WESTCLIFF	51.53741	0.691586
STHCENT	BPLAN	51.537057,0.710832	Southend Central	51.537057	0.710832
LEDBRNJ	FOI	51.887725,-0.672601	LEDBURN JN	51.887725	-0.672601
CRFDCKJ	FOI	51.462806,0.194601	CRAYFORD CREEK JN	51.462806	0.194601
WHMDSTD	FOI	51.547476,-0.191285	WEST HAMPSTEAD	51.547476	-0.191285
BLFRJN	FOI	51.504961,-0.102564	BLACKFRIARS JN	51.504961	-0.102564
HMTNJ	FOI	52.3702,-1.226547	HILLMORTON JN	52.3702	-1.226547
NORBURY	FOI	51.411359,-0.121685	NORBURY	51.411359	-0.121685
THTH	FOI	51.399302,-0.101161	THORNTON HEATH	51.399302	-0.101161
RUGBTVJ	FOI	52.380775,-1.265015	RUGBY TRENT VALLEY JN	52.380775	-1.265015
NWCSTLE	FOI	54.968228,-1.616953	NEWCASTLE	54.968228	-1.616953
BELVEDR	FOI	51.492179,0.152808	BELVEDERE	51.492179	0.152808
ERITH	FOI	51.481835,0.174818	ERITH	51.481835	0.174818
CNNBELL	FOI	51.548376,-0.093086	CANONBURY ELL	51.548376	-0.093086
BEXLEY	FOI	51.440175,0.147771	BEXLEY	51.440175	0.147771
WANDCMN	FOI	51.445948,-0.16328	WANDSWORTH COMMON	51.445948	-0.16328
WOLWCDY	FOI	51.491142,0.054744	WOOLWICH DOCKYARD	51.491142	0.054744
HANSLPJ	FOI	52.114218,-0.857535	HANSLOPE JN	52.114218	-0.857535
KENOLYM	FOI	51.49793,-0.210161	KENSINGTON (OLYMPIA)	51.49793	-0.210161
SHRTLND	FOI	51.405625,0.002481	SHORTLANDS	51.405625	0.002481
WVRMPTN	FOI	52.587914,-2.120076	WOLVERHAMPTON	52.587914	-2.120076
EALINGB	FOI	51.514647,-0.300217	EALING BROADWAY	51.514647	-0.300217
GNWH	FOI	51.478202,-0.015295	GREENWICH	51.478202	-0.015295
WHRDJN	FOI	53.791928,-1.559465	WHITEHALL JN	53.791928	-1.559465
BRCKLAJ	FOI	51.485152,-0.047877	BRICKLAYERS ARMS JN	51.485152	-0.047877
KEYMERJ	FOI	50.96083,-0.122895	KEYMER JN	50.96083	-0.122895
MAZEH	FOI	51.48269,0.00322	MAZE HILL	51.48269	0.00322
DEPTFD	FOI	51.479054,-0.026866	DEPTFORD	51.479054	-0.026866
INGTSTN	FOI	51.667074,0.384436	INGATESTONE	51.667074	0.384436
WCOMBEP	FOI	51.484142,0.017614	WESTCOMBE PARK	51.484142	0.017614
MOTNGHM	FOI	51.440315,0.04954	MOTTINGHAM	51.440315	0.04954
LEWES	FOI	50.870755,0.013468	LEWES	50.870755	0.013468
RAINHMK	FOI	51.366987,0.610557	RAINHAM KT	51.366987	0.610557
EPSM	FOI	51.334203,-0.270048	EPSOM	51.334203	-0.270048
HAYESAH	FOI	51.502934,-0.419508	HAYES & HARLINGTON	51.502934	-0.419508
STHNDE	FOI	51.538883,0.730973	SOUTHEND EAST	51.538883	0.730973
THOPBAY	FOI	51.537634,0.76202	THORPE BAY	51.537634	0.76202
COLTONJ	FOI	53.891891,-1.166145	COLTON JN	53.891891	-1.166145
SEVTNLJ	FOI	51.584159,-2.777089	SEVERN TUNNEL JN	51.584159	-2.777089
STLNRWS	FOI	50.855748,0.56024	ST LEONARDS WARRIOR SQ	50.855748	0.56024
WDWTOWN	FOI	51.460532,-0.197344	WANDSWORTH TOWN	51.460532	-0.197344
LBGHJN	FOI	51.465962,-0.102124	LOUGHBOROUGH JN	51.465962	-0.102124
STROOD	FOI	51.39653,0.500158	STROOD	51.39653	0.500158
WOKINGJ	FOI	51.315271,-0.565411	WOKING JN	51.315271	-0.565411
WLSDNJL	FOI	51.532396,-0.244537	WILLESDEN JN LOW LEVEL	51.532396	-0.244537
BATHSPA	FOI	51.378417,-2.372843	BATH SPA	51.378417	-2.372843
QPRK	FOI	51.533992,-0.205618	QUEEN'S PARK (LONDON)	51.533992	-0.205618
BEDFDS	FOI	52.11964,-0.478589	BEDFORD SOUTH JN.	52.11964	-0.478589
CPYHLDJ	FOI	51.016684,-0.105428	COPYHOLD JN	51.016684	-0.105428
HRLWTWN	FOI	51.78142,0.095598	HARLOW TOWN	51.78142	0.095598
BALCMTJ	FOI	51.082732,-0.160727	BALCOMBE TUNNEL JN	51.082732	-0.160727
WIKFORD	FOI	51.614072,0.52192	WICKFORD	51.614072	0.52192
STCR	FOI	51.451419,0.263272	STONE CROSSING	51.451419	0.263272
FILTNEW	FOI	51.503204,-2.563864	FILTON ABBEY WOOD	51.503204	-2.563864
LEAGRVJ	FOI	51.910262,-0.466542	LEAGRAVE JN	51.910262	-0.466542
HOVE	FOI	50.835464,-0.171132	HOVE	50.835464	-0.171132
HNTNGDN	FOI	52.328153,-0.19269	HUNTINGDON	52.328153	-0.19269
BIGLSWD	FOI	52.084519,-0.260755	BIGGLESWADE	52.084519	-0.260755
GLGC	FOI	55.858674,-4.258236	GLASGOW CENTRAL	55.858674	-4.258236
NTNG	FOI	52.947342,-1.142611	NOTTINGHAM	52.947342	-1.142611
NTHMJN	FOI	50.910286,-1.39204	NORTHAM JN	50.910286	-1.39204
STNBGPK	FOI	51.544079,-0.276204	STONEBRIDGE PARK	51.544079	-0.276204
HOUNSLW	FOI	51.462179,-0.361664	HOUNSLOW	51.462179	-0.361664
HMPSTDH	FOI	51.55537,-0.165079	HAMPSTEAD HEATH	51.55537	-0.165079
DRHM	FOI	54.779694,-1.581578	DURHAM	54.779694	-1.581578
STNGBRN	FOI	51.342044,0.735205	SITTINGBOURNE	51.342044	0.735205
KENSLG	FOI	51.530598,-0.224264	KENSAL GREEN	51.530598	-0.224264
